Modelo,Accuracy_mean,Accuracy_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Fit_time
Baseline,0.7893171590686755,1.1102230246251565e-16,0.8822551721121462,0.0,0.5,0.0,0.7893171590686755,1.1102230246251565e-16,0.12398282686869304
RegLog,0.7466249266288397,0.004389802415037362,0.8356484711660331,0.003081236005542181,0.7024428659724095,0.0028818018443931242,0.8749182766069227,0.0006206047437994064,0.7394685745239258
RandomForest,0.76958194743364,0.004898588181668084,0.8539602298721735,0.003546638517462045,0.7049123091303874,0.004149117620322312,0.8754546686758284,0.0010381337869630417,4.943727811177571
XGBoost,0.7482293093328116,0.0016326080030903381,0.8372637361945857,0.0012219727589385507,0.6998216082116526,0.0020770180525401722,0.8734117441888293,0.000905233371051566,1.2148466904958088
