date,year,quarter,month,month_name,week,day,day_of_week,is_weekend
2017-01-14,2017,1,1,January,2,14,5,1
2017-01-15,2017,1,1,January,2,15,6,1
2017-01-16,2017,1,1,January,3,16,0,0
2017-01-17,2017,1,1,January,3,17,1,0
2017-01-18,2017,1,1,January,3,18,2,0
2017-01-19,2017,1,1,January,3,19,3,0
2017-01-20,2017,1,1,January,3,20,4,0
2017-01-21,2017,1,1,January,3,21,5,1
2017-01-22,2017,1,1,January,3,22,6,1
2017-01-23,2017,1,1,January,4,23,0,0
2017-01-24,2017,1,1,January,4,24,1,0
2017-01-25,2017,1,1,January,4,25,2,0
2017-01-26,2017,1,1,January,4,26,3,0
2017-01-27,2017,1,1,January,4,27,4,0
2017-01-28,2017,1,1,January,4,28,5,1
2017-01-29,2017,1,1,January,4,29,6,1
2017-01-30,2017,1,1,January,5,30,0,0
2017-01-31,2017,1,1,January,5,31,1,0
2017-02-01,2017,1,2,February,5,1,2,0
2017-02-02,2017,1,2,February,5,2,3,0
2017-02-03,2017,1,2,February,5,3,4,0
2017-02-04,2017,1,2,February,5,4,5,1
2017-02-05,2017,1,2,February,5,5,6,1
2017-02-06,2017,1,2,February,6,6,0,0
2017-02-07,2017,1,2,February,6,7,1,0
2017-02-08,2017,1,2,February,6,8,2,0
2017-02-09,2017,1,2,February,6,9,3,0
2017-02-10,2017,1,2,February,6,10,4,0
2017-02-11,2017,1,2,February,6,11,5,1
2017-02-12,2017,1,2,February,6,12,6,1
2017-02-13,2017,1,2,February,7,13,0,0
2017-02-14,2017,1,2,February,7,14,1,0
2017-02-15,2017,1,2,February,7,15,2,0
2017-02-16,2017,1,2,February,7,16,3,0
2017-02-17,2017,1,2,February,7,17,4,0
2017-02-18,2017,1,2,February,7,18,5,1
2017-02-19,2017,1,2,February,7,19,6,1
2017-02-20,2017,1,2,February,8,20,0,0
2017-02-21,2017,1,2,February,8,21,1,0
2017-02-22,2017,1,2,February,8,22,2,0
2017-02-23,2017,1,2,February,8,23,3,0
2017-02-24,2017,1,2,February,8,24,4,0
2017-02-25,2017,1,2,February,8,25,5,1
2017-02-26,2017,1,2,February,8,26,6,1
2017-02-27,2017,1,2,February,9,27,0,0
2017-02-28,2017,1,2,February,9,28,1,0
2017-03-01,2017,1,3,March,9,1,2,0
2017-03-02,2017,1,3,March,9,2,3,0
2017-03-03,2017,1,3,March,9,3,4,0
2017-03-04,2017,1,3,March,9,4,5,1
2017-03-05,2017,1,3,March,9,5,6,1
2017-03-06,2017,1,3,March,10,6,0,0
2017-03-07,2017,1,3,March,10,7,1,0
2017-03-08,2017,1,3,March,10,8,2,0
2017-03-09,2017,1,3,March,10,9,3,0
2017-03-10,2017,1,3,March,10,10,4,0
2017-03-11,2017,1,3,March,10,11,5,1
2017-03-12,2017,1,3,March,10,12,6,1
2017-03-13,2017,1,3,March,11,13,0,0
2017-03-14,2017,1,3,March,11,14,1,0
2017-03-15,2017,1,3,March,11,15,2,0
2017-03-16,2017,1,3,March,11,16,3,0
2017-03-17,2017,1,3,March,11,17,4,0
2017-03-18,2017,1,3,March,11,18,5,1
2017-03-19,2017,1,3,March,11,19,6,1
2017-03-20,2017,1,3,March,12,20,0,0
2017-03-21,2017,1,3,March,12,21,1,0
2017-03-22,2017,1,3,March,12,22,2,0
2017-03-23,2017,1,3,March,12,23,3,0
2017-03-24,2017,1,3,March,12,24,4,0
2017-03-25,2017,1,3,March,12,25,5,1
2017-03-26,2017,1,3,March,12,26,6,1
2017-03-27,2017,1,3,March,13,27,0,0
2017-03-28,2017,1,3,March,13,28,1,0
2017-03-29,2017,1,3,March,13,29,2,0
2017-03-30,2017,1,3,March,13,30,3,0
2017-03-31,2017,1,3,March,13,31,4,0
2017-04-01,2017,2,4,April,13,1,5,1
2017-04-02,2017,2,4,April,13,2,6,1
2017-04-03,2017,2,4,April,14,3,0,0
2017-04-04,2017,2,4,April,14,4,1,0
2017-04-05,2017,2,4,April,14,5,2,0
2017-04-06,2017,2,4,April,14,6,3,0
2017-04-07,2017,2,4,April,14,7,4,0
2017-04-08,2017,2,4,April,14,8,5,1
2017-04-09,2017,2,4,April,14,9,6,1
2017-04-10,2017,2,4,April,15,10,0,0
2017-04-11,2017,2,4,April,15,11,1,0
2017-04-12,2017,2,4,April,15,12,2,0
2017-04-13,2017,2,4,April,15,13,3,0
2017-04-14,2017,2,4,April,15,14,4,0
