date,year,quarter,month,month_name,week,day,day_of_week,is_weekend
2018-04-04,2018,2,4,April,14,4,2,0
2018-04-05,2018,2,4,April,14,5,3,0
2018-04-06,2018,2,4,April,14,6,4,0
2018-04-07,2018,2,4,April,14,7,5,1
2018-04-08,2018,2,4,April,14,8,6,1
2018-04-09,2018,2,4,April,15,9,0,0
2018-04-10,2018,2,4,April,15,10,1,0
2018-04-11,2018,2,4,April,15,11,2,0
2018-04-12,2018,2,4,April,15,12,3,0
2018-04-13,2018,2,4,April,15,13,4,0
2018-04-14,2018,2,4,April,15,14,5,1
2018-04-15,2018,2,4,April,15,15,6,1
2018-04-16,2018,2,4,April,16,16,0,0
2018-04-17,2018,2,4,April,16,17,1,0
2018-04-18,2018,2,4,April,16,18,2,0
2018-04-19,2018,2,4,April,16,19,3,0
2018-04-20,2018,2,4,April,16,20,4,0
2018-04-21,2018,2,4,April,16,21,5,1
2018-04-22,2018,2,4,April,16,22,6,1
2018-04-23,2018,2,4,April,17,23,0,0
2018-04-24,2018,2,4,April,17,24,1,0
2018-04-25,2018,2,4,April,17,25,2,0
2018-04-26,2018,2,4,April,17,26,3,0
2018-04-27,2018,2,4,April,17,27,4,0
2018-04-28,2018,2,4,April,17,28,5,1
2018-04-29,2018,2,4,April,17,29,6,1
2018-04-30,2018,2,4,April,18,30,0,0
2018-05-01,2018,2,5,May,18,1,1,0
2018-05-02,2018,2,5,May,18,2,2,0
2018-05-03,2018,2,5,May,18,3,3,0
2018-05-04,2018,2,5,May,18,4,4,0
2018-05-05,2018,2,5,May,18,5,5,1
2018-05-06,2018,2,5,May,18,6,6,1
2018-05-07,2018,2,5,May,19,7,0,0
2018-05-08,2018,2,5,May,19,8,1,0
2018-05-09,2018,2,5,May,19,9,2,0
2018-05-10,2018,2,5,May,19,10,3,0
2018-05-11,2018,2,5,May,19,11,4,0
2018-05-12,2018,2,5,May,19,12,5,1
2018-05-13,2018,2,5,May,19,13,6,1
2018-05-14,2018,2,5,May,20,14,0,0
2018-05-15,2018,2,5,May,20,15,1,0
2018-05-16,2018,2,5,May,20,16,2,0
2018-05-17,2018,2,5,May,20,17,3,0
2018-05-18,2018,2,5,May,20,18,4,0
2018-05-19,2018,2,5,May,20,19,5,1
2018-05-20,2018,2,5,May,20,20,6,1
2018-05-21,2018,2,5,May,21,21,0,0
2018-05-22,2018,2,5,May,21,22,1,0
2018-05-23,2018,2,5,May,21,23,2,0
2018-05-24,2018,2,5,May,21,24,3,0
2018-05-25,2018,2,5,May,21,25,4,0
2018-05-26,2018,2,5,May,21,26,5,1
2018-05-27,2018,2,5,May,21,27,6,1
2018-05-28,2018,2,5,May,22,28,0,0
2018-05-29,2018,2,5,May,22,29,1,0
2018-05-30,2018,2,5,May,22,30,2,0
2018-05-31,2018,2,5,May,22,31,3,0
2018-06-01,2018,2,6,June,22,1,4,0
2018-06-02,2018,2,6,June,22,2,5,1
2018-06-03,2018,2,6,June,22,3,6,1
2018-06-04,2018,2,6,June,23,4,0,0
2018-06-05,2018,2,6,June,23,5,1,0
2018-06-06,2018,2,6,June,23,6,2,0
2018-06-07,2018,2,6,June,23,7,3,0
2018-06-08,2018,2,6,June,23,8,4,0
2018-06-09,2018,2,6,June,23,9,5,1
2018-06-10,2018,2,6,June,23,10,6,1
2018-06-11,2018,2,6,June,24,11,0,0
2018-06-12,2018,2,6,June,24,12,1,0
2018-06-13,2018,2,6,June,24,13,2,0
2018-06-14,2018,2,6,June,24,14,3,0
2018-06-15,2018,2,6,June,24,15,4,0
2018-06-16,2018,2,6,June,24,16,5,1
2018-06-17,2018,2,6,June,24,17,6,1
2018-06-18,2018,2,6,June,25,18,0,0
2018-06-19,2018,2,6,June,25,19,1,0
2018-06-20,2018,2,6,June,25,20,2,0
2018-06-21,2018,2,6,June,25,21,3,0
2018-06-22,2018,2,6,June,25,22,4,0
2018-06-23,2018,2,6,June,25,23,5,1
2018-06-24,2018,2,6,June,25,24,6,1
2018-06-25,2018,2,6,June,26,25,0,0
2018-06-26,2018,2,6,June,26,26,1,0
2018-06-27,2018,2,6,June,26,27,2,0
2018-06-28,2018,2,6,June,26,28,3,0
2018-06-29,2018,2,6,June,26,29,4,0
2018-06-30,2018,2,6,June,26,30,5,1
2018-07-01,2018,3,7,July,26,1,6,1
2018-07-02,2018,3,7,July,27,2,0,0
2018-07-03,2018,3,7,July,27,3,1,0
2018-07-04,2018,3,7,July,27,4,2,0
2018-07-05,2018,3,7,July,27,5,3,0
2018-07-06,2018,3,7,July,27,6,4,0
2018-07-07,2018,3,7,July,27,7,5,1
2018-07-08,2018,3,7,July,27,8,6,1
2018-07-09,2018,3,7,July,28,9,0,0
2018-07-10,2018,3,7,July,28,10,1,0
2018-07-11,2018,3,7,July,28,11,2,0
2018-07-12,2018,3,7,July,28,12,3,0
2018-07-13,2018,3,7,July,28,13,4,0
2018-07-14,2018,3,7,July,28,14,5,1
2018-07-15,2018,3,7,July,28,15,6,1
2018-07-16,2018,3,7,July,29,16,0,0
2018-07-17,2018,3,7,July,29,17,1,0
2018-07-18,2018,3,7,July,29,18,2,0
2018-07-19,2018,3,7,July,29,19,3,0
2018-07-20,2018,3,7,July,29,20,4,0
2018-07-21,2018,3,7,July,29,21,5,1
2018-07-22,2018,3,7,July,29,22,6,1
2018-07-23,2018,3,7,July,30,23,0,0
2018-07-24,2018,3,7,July,30,24,1,0
2018-07-25,2018,3,7,July,30,25,2,0
2018-07-26,2018,3,7,July,30,26,3,0
2018-07-27,2018,3,7,July,30,27,4,0
2018-07-28,2018,3,7,July,30,28,5,1
2018-07-29,2018,3,7,July,30,29,6,1
2018-07-30,2018,3,7,July,31,30,0,0
2018-07-31,2018,3,7,July,31,31,1,0
2018-08-01,2018,3,8,August,31,1,2,0
2018-08-02,2018,3,8,August,31,2,3,0
2018-08-03,2018,3,8,August,31,3,4,0
2018-08-04,2018,3,8,August,31,4,5,1
2018-08-05,2018,3,8,August,31,5,6,1
2018-08-06,2018,3,8,August,32,6,0,0
2018-08-07,2018,3,8,August,32,7,1,0
2018-08-08,2018,3,8,August,32,8,2,0
2018-08-09,2018,3,8,August,32,9,3,0
2018-08-10,2018,3,8,August,32,10,4,0
2018-08-11,2018,3,8,August,32,11,5,1
2018-08-12,2018,3,8,August,32,12,6,1
2018-08-13,2018,3,8,August,33,13,0,0
2018-08-14,2018,3,8,August,33,14,1,0
2018-08-15,2018,3,8,August,33,15,2,0
2018-08-16,2018,3,8,August,33,16,3,0
2018-08-17,2018,3,8,August,33,17,4,0
2018-08-18,2018,3,8,August,33,18,5,1
2018-08-19,2018,3,8,August,33,19,6,1
2018-08-20,2018,3,8,August,34,20,0,0
2018-08-21,2018,3,8,August,34,21,1,0
2018-08-22,2018,3,8,August,34,22,2,0
2018-08-23,2018,3,8,August,34,23,3,0
2018-08-24,2018,3,8,August,34,24,4,0
2018-08-25,2018,3,8,August,34,25,5,1
2018-08-26,2018,3,8,August,34,26,6,1
2018-08-27,2018,3,8,August,35,27,0,0
2018-08-28,2018,3,8,August,35,28,1,0
2018-08-29,2018,3,8,August,35,29,2,0
2018-08-30,2018,3,8,August,35,30,3,0
2018-08-31,2018,3,8,August,35,31,4,0
2018-09-01,2018,3,9,September,35,1,5,1
2018-09-02,2018,3,9,September,35,2,6,1
2018-09-03,2018,3,9,September,36,3,0,0
2018-09-04,2018,3,9,September,36,4,1,0
2018-09-05,2018,3,9,September,36,5,2,0
2018-09-06,2018,3,9,September,36,6,3,0
2018-09-07,2018,3,9,September,36,7,4,0
2018-09-08,2018,3,9,September,36,8,5,1
2018-09-09,2018,3,9,September,36,9,6,1
2018-09-10,2018,3,9,September,37,10,0,0
2018-09-11,2018,3,9,September,37,11,1,0
2018-09-12,2018,3,9,September,37,12,2,0
2018-09-13,2018,3,9,September,37,13,3,0
2018-09-14,2018,3,9,September,37,14,4,0
2018-09-15,2018,3,9,September,37,15,5,1
2018-09-16,2018,3,9,September,37,16,6,1
2018-09-17,2018,3,9,September,38,17,0,0
2018-09-18,2018,3,9,September,38,18,1,0
2018-09-19,2018,3,9,September,38,19,2,0
2018-09-20,2018,3,9,September,38,20,3,0
2018-09-21,2018,3,9,September,38,21,4,0
2018-09-22,2018,3,9,September,38,22,5,1
2018-09-23,2018,3,9,September,38,23,6,1
2018-09-24,2018,3,9,September,39,24,0,0
2018-09-25,2018,3,9,September,39,25,1,0
2018-09-26,2018,3,9,September,39,26,2,0
2018-09-27,2018,3,9,September,39,27,3,0
2018-09-28,2018,3,9,September,39,28,4,0
2018-09-29,2018,3,9,September,39,29,5,1
2018-09-30,2018,3,9,September,39,30,6,1
2018-10-01,2018,4,10,October,40,1,0,0
2018-10-02,2018,4,10,October,40,2,1,0
2018-10-03,2018,4,10,October,40,3,2,0
2018-10-04,2018,4,10,October,40,4,3,0
2018-10-05,2018,4,10,October,40,5,4,0
2018-10-06,2018,4,10,October,40,6,5,1
2018-10-07,2018,4,10,October,40,7,6,1
2018-10-08,2018,4,10,October,41,8,0,0
2018-10-09,2018,4,10,October,41,9,1,0
2018-10-10,2018,4,10,October,41,10,2,0
2018-10-11,2018,4,10,October,41,11,3,0
2018-10-12,2018,4,10,October,41,12,4,0
2018-10-13,2018,4,10,October,41,13,5,1
2018-10-14,2018,4,10,October,41,14,6,1
2018-10-15,2018,4,10,October,42,15,0,0
2018-10-16,2018,4,10,October,42,16,1,0
2018-10-17,2018,4,10,October,42,17,2,0
